page_name,page_id,type
History of the City of Burnside,4622696,former_featured_articles
History of Germany,13224,former_featured_articles
History of the Grand Canyon area,1720950,former_featured_articles
History of Greenland,52476,former_featured_articles
History of Jews in Poland,68494093,former_featured_articles
History of Limerick,803030,former_featured_articles
History of Miami,3585412,former_featured_articles
History of Minnesota,690237,former_featured_articles
History of the Netherlands,13289,former_featured_articles
History of New Jersey,2591085,former_featured_articles
History of Puerto Rico,19283151,former_featured_articles
History of the Philippines,23441,former_featured_articles
History of Portugal (1777–1834),3167635,former_featured_articles
History of Russia (1991–present),74780048,former_featured_articles
History of Russia,14115,former_featured_articles
History of Scotland,13617,former_featured_articles
History of Sheffield,1851993,former_featured_articles
History of South Carolina,2208837,former_featured_articles
History of Tamil Nadu,5057292,former_featured_articles
Hoysala Empire,75982892,former_featured_articles
Hrafnkels saga,1403117,former_featured_articles
Hungarian Revolution of 1956,351949,former_featured_articles
East India Company,43281,former_featured_articles
Inaugural games of the Flavian Amphitheatre,76536591,former_featured_articles
Indo-Greek Kingdom,779319,former_featured_articles
Indus Valley Civilisation,46853,former_featured_articles
Inner German border,849186,former_featured_articles
Italian Renaissance,322915,former_featured_articles
John Dee,8457942,former_featured_articles
John W. Johnston,3020925,former_featured_articles
Julius Caesar,15924,former_featured_articles
Katyn massacre,7969401,former_featured_articles
Kengir uprising,6479362,former_featured_articles
Night of the Long Knives,53901,former_featured_articles
Ku Klux Klan,16779,former_featured_articles
Leopold and Loeb,158547,former_featured_articles
Llywelyn the Great,74501556,former_featured_articles
Lothal,162248,former_featured_articles
Mahatma Gandhi,19379,former_featured_articles
Makuria,1073722,former_featured_articles
Mark Antony,19960,former_featured_articles
Mark Felt,1967935,former_featured_articles
Mortara case,347917,former_featured_articles
Mauthausen-Gusen concentration camp,674664,former_featured_articles
Monte Ne,3367123,former_featured_articles
Mumia Abu-Jamal,20057,former_featured_articles
Penny (English coin),204541,former_featured_articles
Pericles,36812,former_featured_articles
Polish–Lithuanian Commonwealth,343234,former_featured_articles
Political integration of India,3421031,former_featured_articles
Project MKUltra,42739197,former_featured_articles
Ramón Emeterio Betances,700400,former_featured_articles
Rhodesian mission in Lisbon,36601293,former_featured_articles
Rock Springs massacre,6966587,former_featured_articles
Rosa Parks,26458,former_featured_articles
Rus' Khaganate,21486297,former_featured_articles
Vallabhbhai Patel,59659,former_featured_articles
Sasanian Empire,5876413,former_featured_articles
Second Malaysia Plan,4422313,former_featured_articles
September 11 attacks,5058690,former_featured_articles
Sheikh Mujibur Rahman,246089,former_featured_articles
Sino-Soviet split,353811,former_featured_articles
Slavery in ancient Greece,47471180,former_featured_articles
Space Race,84237,former_featured_articles
Suleiman the Magnificent,26992,former_featured_articles
Sun Yat-sen,88483,former_featured_articles
Swedish emigration to the United States,12039748,former_featured_articles
Theramenes,98927,former_featured_articles
Unification of Germany,1070016,former_featured_articles
Vijayanagara Empire,478684,former_featured_articles
Werner Mölders,2349722,former_featured_articles
William Nelson Page,1140162,former_featured_articles
Witold Pilecki,824265,former_featured_articles
Yagan,406910,former_featured_articles
Yellowstone fires of 1988,8143396,former_featured_articles
Ziad Jarrah,34482,former_featured_articles
Ziaur Rahman,308460,former_featured_articles
American English,1890,former_featured_articles
Aramaic language,2302,former_featured_articles
Aryan Invasion Theory (history and controversies),2510523,former_featured_articles
Bengali language,21378419,former_featured_articles
Decipherment of rongorongo,16855965,former_featured_articles
Gbe languages,904073,former_featured_articles
Ido,15040,former_featured_articles
Irish phonology,610336,former_featured_articles
Laal language,908947,former_featured_articles
Leet,18562,former_featured_articles
Mandarin Chinese,19359,former_featured_articles
Nafanan language,1266178,former_featured_articles
Names of the Greeks,2445603,former_featured_articles
Noam Chomsky,21566,former_featured_articles
Portuguese language,23915,former_featured_articles
Rongorongo,151438,former_featured_articles
Russian language,25431,former_featured_articles
Split infinitive,28900,former_featured_articles
Swedish language,26689,former_featured_articles
Taiwanese Hokkien,58791,former_featured_articles
Tamil language,29919,former_featured_articles
Turkish language,29992,former_featured_articles
Thou,235032,former_featured_articles
Vowel,32693,former_featured_articles
Voynich manuscript,45845,former_featured_articles
Vulgar Latin,51962,former_featured_articles
Accurate News and Information Act,24695089,former_featured_articles
Al-Kateb v Godwin,5610927,former_featured_articles
Alaska Mental Health Enabling Act,9480344,former_featured_articles
Alcohol laws of New Jersey,22795875,former_featured_articles
Article One of the United States Constitution,31646,former_featured_articles
Assassination of Robert F. Kennedy,21131596,former_featured_articles
Bricker Amendment,4456451,former_featured_articles
Canadian Charter of Rights and Freedoms,129190,former_featured_articles
Common scold,676767,former_featured_articles
Constitution of 3 May 1791,463477,former_featured_articles
Constitution of Belarus,2411958,former_featured_articles
Constitution of the United States,31644,former_featured_articles
Copyright,5278,former_featured_articles
CSI effect,2303083,former_featured_articles
Dietrich v The Queen,2084583,former_featured_articles
Dred Scott v. Sandford,105816,former_featured_articles
Equal Protection Clause,950939,former_featured_articles
Execution by elephant,239253,former_featured_articles
Federalist No. 10,2448551,former_featured_articles
First Amendment to the United States Constitution,31653,former_featured_articles
French law on secularity and conspicuous religious symbols in schools,434190,former_featured_articles
"Fundamental Rights, Directive Principles and Fundamental Duties of India",2282404,former_featured_articles
Law,18949668,former_featured_articles
Lawrence v. Texas,236327,former_featured_articles
Moors murders,147760,former_featured_articles
Murder of James Bulger,26646400,former_featured_articles
Negligence,21436,former_featured_articles
